Bandit,Reward,Algorithm
2,3.5427046624388034,ThompsonSampling
2,4.712852343640666,ThompsonSampling
2,2.3915350452888373,ThompsonSampling
2,4.005781167530712,ThompsonSampling
2,2.3522885371958306,ThompsonSampling
2,2.0849822910480804,ThompsonSampling
2,1.5996826881778266,ThompsonSampling
2,4.200010427447156,ThompsonSampling
2,3.128746862321183,ThompsonSampling
2,2.805303800609417,ThompsonSampling
2,4.259300563951767,ThompsonSampling
2,3.1709913642848053,ThompsonSampling
2,4.930353273199031,ThompsonSampling
2,1.1012729794198748,ThompsonSampling
2,4.313289530292375,ThompsonSampling
2,4.7598432112991755,ThompsonSampling
2,3.4034858080624346,ThompsonSampling
2,3.6258476368950356,ThompsonSampling
2,3.7550817552474185,ThompsonSampling
2,4.553094556395795,ThompsonSampling
2,2.795951504331402,ThompsonSampling
2,2.606813874696866,ThompsonSampling
2,2.334012188671899,ThompsonSampling
2,2.162870729436249,ThompsonSampling
2,1.3286441867823509,ThompsonSampling
2,2.935152136576132,ThompsonSampling
2,3.030324717164088,ThompsonSampling
2,2.482232520446759,ThompsonSampling
2,3.479606477967142,ThompsonSampling
2,4.227809146200354,ThompsonSampling
2,1.0123141713526016,ThompsonSampling
2,2.535903301619904,ThompsonSampling
2,2.7561760365045918,ThompsonSampling
2,1.698435525104008,ThompsonSampling
2,2.205877579239683,ThompsonSampling
2,3.097025527068102,ThompsonSampling
1,2.4133069724654126,ThompsonSampling
2,1.821441295575211,ThompsonSampling
2,2.4064750572622082,ThompsonSampling
2,3.595337510067898,ThompsonSampling
2,2.927742219296062,ThompsonSampling
2,3.87831351134319,ThompsonSampling
2,4.517319694243722,ThompsonSampling
2,2.454512614640348,ThompsonSampling
2,2.456140918222836,ThompsonSampling
2,3.9183010280798625,ThompsonSampling
2,2.379735217291179,ThompsonSampling
1,2.8639850753471823,ThompsonSampling
2,2.790383366084449,ThompsonSampling
2,1.1483036534658457,ThompsonSampling
2,1.6418767361953104,ThompsonSampling
1,2.102216901417911,ThompsonSampling
2,4.388536125429542,ThompsonSampling
2,2.960838334319339,ThompsonSampling
2,2.637193582937921,ThompsonSampling
2,2.499970236631,ThompsonSampling
2,0.8453459612495426,ThompsonSampling
2,2.790009932667666,ThompsonSampling
2,1.7276141118636215,ThompsonSampling
2,3.088859575020363,ThompsonSampling
2,4.056776242214325,ThompsonSampling
2,4.348236818560961,ThompsonSampling
2,2.1131413649626167,ThompsonSampling
2,1.6242557036860301,ThompsonSampling
2,1.0234474843368138,ThompsonSampling
1,2.3145674106269905,ThompsonSampling
2,1.275638322266923,ThompsonSampling
2,2.9533900314750476,ThompsonSampling
2,3.7169933045897023,ThompsonSampling
2,2.943097409719087,ThompsonSampling
2,1.8741173990772952,ThompsonSampling
2,3.844085814406443,ThompsonSampling
2,3.191592186711018,ThompsonSampling
2,4.0436429541719425,ThompsonSampling
1,2.2572080600711213,ThompsonSampling
2,2.696650946614627,ThompsonSampling
2,2.340154176740768,ThompsonSampling
2,4.688259299699858,ThompsonSampling
2,3.5692202197675496,ThompsonSampling
2,2.9067172152662653,ThompsonSampling
2,2.5635788128312282,ThompsonSampling
2,2.3349861680993116,ThompsonSampling
2,2.526330358673073,ThompsonSampling
2,2.1338863964548453,ThompsonSampling
2,2.9518070586441443,ThompsonSampling
2,2.02862884121079,ThompsonSampling
2,3.082786087726495,ThompsonSampling
2,3.1905334548461703,ThompsonSampling
2,2.84361849156541,ThompsonSampling
2,2.5282842093689157,ThompsonSampling
2,1.8737927203560873,ThompsonSampling
2,2.673819521070718,ThompsonSampling
2,3.4634941518127818,ThompsonSampling
1,2.373036003071512,ThompsonSampling
2,2.4344506105557038,ThompsonSampling
1,2.2606789714378475,ThompsonSampling
2,2.538501906861823,ThompsonSampling
2,1.86363032926682,ThompsonSampling
2,2.85542025393269,ThompsonSampling
2,3.520743763735876,ThompsonSampling
2,2.55791428315154,ThompsonSampling
2,2.922477130873115,ThompsonSampling
1,3.2269674773109362,ThompsonSampling
2,4.627563598634328,ThompsonSampling
2,3.91290549379309,ThompsonSampling
2,3.0409287061934274,ThompsonSampling
2,4.0418431806702095,ThompsonSampling
2,2.1279949501286843,ThompsonSampling
2,3.668407853514832,ThompsonSampling
2,1.8391823714968851,ThompsonSampling
2,3.2642794447442642,ThompsonSampling
2,2.0891902705333094,ThompsonSampling
2,2.291694985605201,ThompsonSampling
2,3.122754931111006,ThompsonSampling
2,3.2645181893424318,ThompsonSampling
1,1.1449548055193572,ThompsonSampling
2,3.4169149310127005,ThompsonSampling
2,2.969747985606178,ThompsonSampling
2,4.414291255776747,ThompsonSampling
2,2.6915279476505884,ThompsonSampling
2,2.63936632753665,ThompsonSampling
2,3.935390967111349,ThompsonSampling
2,2.704557347585238,ThompsonSampling
2,5.332812847233761,ThompsonSampling
2,1.5345342331576963,ThompsonSampling
1,1.5262256600979405,ThompsonSampling
2,2.574841096891945,ThompsonSampling
2,2.362553509204969,ThompsonSampling
2,3.049841510561284,ThompsonSampling
2,1.4001969049161946,ThompsonSampling
2,2.2259897386863012,ThompsonSampling
2,2.579115507810785,ThompsonSampling
2,2.582806727227906,ThompsonSampling
2,5.006500683923377,ThompsonSampling
2,2.78556989806031,ThompsonSampling
2,3.004765907760442,ThompsonSampling
2,0.4730794743718194,ThompsonSampling
2,2.2368567597039797,ThompsonSampling
2,2.2167149235009234,ThompsonSampling
2,2.144453340738149,ThompsonSampling
1,2.2779910464463495,ThompsonSampling
1,-0.4034383550553149,ThompsonSampling
2,2.077471018473106,ThompsonSampling
2,2.7180119719826124,ThompsonSampling
2,1.933641807074811,ThompsonSampling
2,4.2038510151584925,ThompsonSampling
2,2.635056133926451,ThompsonSampling
2,3.4941427791666007,ThompsonSampling
2,4.041970876474917,ThompsonSampling
2,3.002789073251121,ThompsonSampling
2,4.07130669666905,ThompsonSampling
2,3.553288068363225,ThompsonSampling
2,2.577173081600135,ThompsonSampling
2,3.3868861749225028,ThompsonSampling
1,3.0209447487564303,ThompsonSampling
2,3.0719020994754445,ThompsonSampling
2,3.8925440928874018,ThompsonSampling
2,3.8833371491766115,ThompsonSampling
2,1.3036915028047753,ThompsonSampling
2,0.03872738276704846,ThompsonSampling
2,2.831542598018166,ThompsonSampling
2,3.157565273736951,ThompsonSampling
2,2.149092029244192,ThompsonSampling
2,4.345930637182448,ThompsonSampling
2,3.7041259741996297,ThompsonSampling
2,3.7251317799008525,ThompsonSampling
2,2.6828947213386365,ThompsonSampling
2,4.999146602817548,ThompsonSampling
2,3.3440463544495973,ThompsonSampling
2,2.5670660528445644,ThompsonSampling
2,1.6657175186437456,ThompsonSampling
2,1.8754679915286727,ThompsonSampling
2,1.3073941837124858,ThompsonSampling
2,2.932861443284375,ThompsonSampling
1,3.442422532570379,ThompsonSampling
2,3.2889164309627583,ThompsonSampling
2,1.498880950538576,ThompsonSampling
2,3.0644391616881292,ThompsonSampling
2,2.6872764785118357,ThompsonSampling
2,3.043657054460843,ThompsonSampling
2,2.626294103882145,ThompsonSampling
2,1.2158865600867461,ThompsonSampling
2,2.924280587642331,ThompsonSampling
2,3.382480414994073,ThompsonSampling
1,0.13977931134836474,ThompsonSampling
1,2.93400426984374,ThompsonSampling
2,4.730315068580256,ThompsonSampling
2,4.391505398054077,ThompsonSampling
2,2.732255074323223,ThompsonSampling
2,3.3805718671820593,ThompsonSampling
2,0.6490156946209682,ThompsonSampling
2,0.941216016119621,ThompsonSampling
2,3.8724481095085546,ThompsonSampling
2,1.6062569524101524,ThompsonSampling
2,2.6045615337750467,ThompsonSampling
2,2.2275162492298053,ThompsonSampling
2,4.748103072864863,ThompsonSampling
2,3.6131645810924193,ThompsonSampling
2,2.723542895309691,ThompsonSampling
2,3.2748799400554924,ThompsonSampling
2,3.544273780915025,ThompsonSampling
2,2.421972877829906,ThompsonSampling
2,2.7033790338712635,ThompsonSampling
2,3.252334356922179,ThompsonSampling
2,3.4866832764044737,ThompsonSampling
2,4.16232509223438,ThompsonSampling
1,0.855915778541148,ThompsonSampling
2,4.140616447410478,ThompsonSampling
1,3.2428139064451855,ThompsonSampling
2,4.068820396557335,ThompsonSampling
2,2.4086475312127265,ThompsonSampling
2,1.886720986461035,ThompsonSampling
2,2.2818092021735876,ThompsonSampling
3,4.826064607923038,ThompsonSampling
2,3.428409251759296,ThompsonSampling
2,4.334650146491038,ThompsonSampling
2,2.8285494903226884,ThompsonSampling
2,3.3746215339377215,ThompsonSampling
2,2.382428207810121,ThompsonSampling
2,4.627847021224904,ThompsonSampling
2,3.214208341536332,ThompsonSampling
2,1.9967362914697635,ThompsonSampling
2,2.6295493210149683,ThompsonSampling
2,3.1342030407954726,ThompsonSampling
2,2.1297088795065156,ThompsonSampling
2,5.079217675412255,ThompsonSampling
2,2.401349241692253,ThompsonSampling
2,4.242377830697864,ThompsonSampling
2,3.358252232881527,ThompsonSampling
2,3.84357672477432,ThompsonSampling
2,3.44169992799922,ThompsonSampling
2,2.276187899812339,ThompsonSampling
2,3.472581032916068,ThompsonSampling
2,3.5002274601541825,ThompsonSampling
2,2.613125070053554,ThompsonSampling
2,3.587589601077693,ThompsonSampling
2,2.975907031081673,ThompsonSampling
2,0.7783865089260242,ThompsonSampling
2,3.0802019583963336,ThompsonSampling
2,1.1468388748329608,ThompsonSampling
2,3.073277746450335,ThompsonSampling
1,1.581556772784086,ThompsonSampling
2,1.7268930494514865,ThompsonSampling
1,2.9620554780305155,ThompsonSampling
2,3.1233326840443087,ThompsonSampling
2,3.211962438243324,ThompsonSampling
2,3.863515628320416,ThompsonSampling
2,3.6660590598518756,ThompsonSampling
2,2.373243477519654,ThompsonSampling
2,3.5151160537168518,ThompsonSampling
2,4.033527923740078,ThompsonSampling
2,2.1060712357900253,ThompsonSampling
2,3.122032111892233,ThompsonSampling
